time_period,name,price_per_night,url
2025-06-26 bis 2025-06-29,Wohnung in Goldach,99 CHF,https://www.airbnb.com/rooms/45526496?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742766519_P3kIC4DHStUFQF6n&previous_page_section_name=1000&federated_search_id=b8130090-39dd-4503-8bba-445e41240638
2025-06-26 bis 2025-06-29,Eigentumswohnung in Gossau,108 CHF,https://www.airbnb.com/rooms/659216252477783109?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742766519_P3GV9kPuZxUJAMl4&previous_page_section_name=1000&federated_search_id=b8130090-39dd-4503-8bba-445e41240638
2025-06-26 bis 2025-06-29,Wohnung in Herisau,77 CHF,https://www.airbnb.com/rooms/47754092?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742766519_P39HZ1Xa9HIwg8mi&previous_page_section_name=1000&federated_search_id=b8130090-39dd-4503-8bba-445e41240638
2025-06-26 bis 2025-06-29,Zimmer in Gaiserwald,51 CHF,https://www.airbnb.com/rooms/1301979391103446631?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=2040200124&source_impression_id=p3_1742766519_P34waGc1v7VqR1Hy&previous_page_section_name=1000&federated_search_id=b8130090-39dd-4503-8bba-445e41240638
2025-06-26 bis 2025-06-29,Eigentumswohnung in Herisau,121 CHF,https://www.airbnb.com/rooms/1185185454372549315?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742766519_P33mVy_9uzRpd_oh&previous_page_section_name=1000&federated_search_id=b8130090-39dd-4503-8bba-445e41240638
2025-06-26 bis 2025-06-29,Zimmer in Heiden,104 CHF,https://www.airbnb.com/rooms/49139740?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1831447322&source_impression_id=p3_1742766519_P39A94vssz068RSO&previous_page_section_name=1000&federated_search_id=b8130090-39dd-4503-8bba-445e41240638
2025-06-26 bis 2025-06-29,Zimmer in St. Gallen,47 CHF,https://www.airbnb.com/rooms/26700069?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=533807995&source_impression_id=p3_1742766519_P3x-_jxaoWXeHvuw&previous_page_section_name=1000&federated_search_id=b8130090-39dd-4503-8bba-445e41240638
2025-06-26 bis 2025-06-29,Zimmer in Herisau,46 CHF,https://www.airbnb.com/rooms/36876332?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=811569625&source_impression_id=p3_1742766519_P3O-zFas6W5BaP-V&previous_page_section_name=1000&federated_search_id=b8130090-39dd-4503-8bba-445e41240638
2025-06-26 bis 2025-06-29,Privatunterkunft in Walzenhausen,91 CHF,https://www.airbnb.com/rooms/636608672961821195?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742766519_P3rsPZ8kjEDBC7SX&previous_page_section_name=1000&federated_search_id=b8130090-39dd-4503-8bba-445e41240638
2025-06-26 bis 2025-06-29,Wohnung in Arbon,110 CHF,https://www.airbnb.com/rooms/16927594?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742766519_P3MdhMqavRwgtBGU&previous_page_section_name=1000&federated_search_id=b8130090-39dd-4503-8bba-445e41240638
