bundesland,partei,listenplatz,nachname,vorname,beruf,geburtsjahr,wahlkreis_name,wahlkreis_nummer
Sachsen,PIRATEN,003,Bernhardt,Linda,Freiwilligendienstleistende,2006,,
Sachsen,PIRATEN,004,Stolzenberger,Tigo,Student,2003,,
Sachsen,PIRATEN,005,Jürgensen,Momme,Softwareentwickler,2002,,
Sachsen,PIRATEN,006,Lehmitz,Tim,Student,2004,,
Sachsen,PIRATEN,007,Henselin,Marcel,Softwareentwickler,1975,,
Sachsen,PIRATEN,008,Dr. Schulte-Wissermann,Martin,Physiker,1971,,
Sachsen,PIRATEN,009,Herpertz,Anne,Politikwissenschaftlerin,1998,,
Sachsen,PIRATEN,010,Kossick,Jan,"Kulturmanager, Künstler, Informatiker",1984,,
Sachsen,Volt,001,Alex,Sina,Gymnasiallehrerin,1988,Dresden II – Bautzen II,159
Sachsen,Volt,002,Arndt,Sebastian,Informatiker,1995,,
Sachsen,Volt,003,Widemann,Mechthild,Übersetzerin,1986,,
Sachsen,Volt,004,Schulz,Thomas,selbständig,1971,,
Sachsen,Volt,005,Stascheit,Manuela,Projektmanagerin,1988,,
Sachsen,Volt,006,Koch,Terence,Schüler,2006,Dresden I,158
Sachsen,Volt,007,Dr. Köhler,Anke,Physikerin,1968,,
Sachsen,Volt,008,Pötter,Fritz,Ingenieur,1993,,
Sachsen,Volt,009,Renger,Kenny,Ingenieur,1990,,
Sachsen,Volt,010,Eberlein,Mathias,mathematisch-techn. Softwareentwickler,1981,,
Sachsen,Volt,011,Schellenberger,Kevin,Student,2005,,
Sachsen,Volt,012,Wojtyschak,Daniel,Angestellter,1985,,
Sachsen,PdH,001,Schmidt,Fabian,IT-Berater,1989,,
Sachsen,PdH,002,Clausnitzer,Eric Nils,Softwareentwickler,1991,Chemnitz,161
Sachsen,PdH,003,Liebenow,Maurice,Arbeiter,2000,,
Sachsen,PdH,004,Hennig,Niklas,Student,1999,,
Sachsen,PdH,005,Dr. Wolfsteller,Andreas,Physiker,1981,,
Sachsen,MLPD,001,Weidemann,Jörg,Krankenpfleger,1968,Leipzig I,151
Sachsen,MLPD,002,Kolkmann-Lutz,Dagmar Marie,Rentnerin,1953,Zwickau,164
Sachsen,MLPD,003,Ebert,Andrea,Rentnerin,1957,Dresden II – Bautzen II,159
Sachsen,MLPD,004,Gäbel,Philipp,Lehrer,1987,,
Sachsen,MLPD,005,Kimmerle,Gudrun,Heilerziehungshelferin,1956,,
Sachsen,MLPD,006,Slave,Günter Paul,Schlosser,1955,,
Sachsen,BÜNDNIS DEUTSCHLAND,001,Große,Steffen,leitender Angestellter,1967,Dresden II – Bautzen II,159
Sachsen,BÜNDNIS DEUTSCHLAND,002,Zschoke,Nils Dirk,Bürgermeister,1966,Meißen,154
Sachsen,BÜNDNIS DEUTSCHLAND,003,Anton,Frank,selbst. Personal- und Unternehmensberater,1961,Dresden I,158
Sachsen,BÜNDNIS DEUTSCHLAND,004,Heinrich,Susan,Fremdsprachensekretärin,1981,Zwickau,164
Sachsen,BÜNDNIS DEUTSCHLAND,005,Goebel,Thomas,Malermeister,1971,Chemnitz,161
Sachsen,BÜNDNIS DEUTSCHLAND,006,Elicker,Achim,Bauunternehmer,1954,,
Sachsen,BÜNDNIS DEUTSCHLAND,007,Scharsich,Mike,Dipl.-Ingenieur,1972,Nordsachsen,150
Sachsen,BÜNDNIS DEUTSCHLAND,008,Reepen,Klaus,Polizeibeamter,1972,Görlitz,156
Sachsen,BÜNDNIS DEUTSCHLAND,009,Lehmann,Maik Harald,Elektromaschinenbaumeister,1968,Bautzen I,155
Sachsen,BSW,001,Dr. Machill,Marcel,Universitätsprofessor,1968,,
Sachsen,BSW,002,Siebert,Frank,Industriemechaniker,1973,,
Sachsen,BSW,003,Thamm,Thomas,"Unternehmer, Betriebswirt",1970,,
Sachsen,BSW,004,Kunze,Anja,Volljuristin,1977,,
Sachsen,BSW,005,Kachel,Thomas,Lehrer,1970,,
Sachsen,BSW,006,Dr. Uhlig,Andreas,Mathematiker,1954,,
Sachsen,BSW,007,Bernhardt,Sebastian,Steuerfachangestellter,1986,,
Sachsen,BSW,008,Schmitt,Stefan,Volkswirt,1986,,
Sachsen,BSW,009,von Mildisch,Erwin,Angestellter,2005,,
Sachsen,BSW,010,Jung,Matthias,Dipl.-Wirtschaftsingenieur Bauwesen,1979,,
Sachsen,BSW,011,Buhler,Maria-Isabel,Dipl.-Biologin,1976,,
Sachsen,BSW,012,Jachmann,Martin,Kfz-Mechaniker,1977,,
Sachsen,BSW,013,Fischer,Sven,Sozialversicherungsfachangestellter,1975,,
Sachsen,BSW,014,Jecht,Sascha,Architekt,1987,Leipzig I,151
