bundesland;partei;listenplatz;nachname;vorname;beruf;geburtsjahr;wahlkreis_name;wahlkreis_nummer;Gender
Bayern;SPD;20;Bahr;Ulrike;Mitglied des Deutschen Bundestages;1964;Augsburg-Stadt;251;female
Bayern;SPD;21;Hümpfer;Markus Klaus;MdB, Ingenieur;1992;Schweinfurt;249;male
Bayern;SPD;22;Hagl-Kehl;Rita Andrea;MdB, Studienrätin;1970;Deggendorf;226;female
Bayern;SPD;23;Plobner;Jan Heinz Stefan;Mitglied des Deutschen Bundestages;1992;Roth;245;male
Bayern;SPD;24;Schieder;Marianne;MdB, Juristin;1962;Schwandorf;233;female
Bayern;SPD;25;Dr. Rüger;Korbinian Nicholas;Dozent an der Universität;1988;München-Land;220;male
Bayern;SPD;26;Stamm-Fibich;Martina;Mitglied des Deutschen Bundestages;1965;Erlangen;241;female
Bayern;SPD;27;Eder;Severin Johannes Antonin;Referent Nachhaltigkeit;1992;Rottal-Inn;229;male
Bayern;SPD;28;Räth;Katharina;Gewerkschaftssekretärin;1983;Würzburg;250;female
Bayern;SPD;29;Eckstein;Jonas Bastian;Bauzeichner;1998;Coburg;237;male
Bayern;SPD;30;Dr. Renner;Regina Michaela;wissenschaftl. Mitarbeiterin;1985;Ostallgäu;257;female
Bayern;SPD;31;Forster;Gregor Johannes;Studienrat;1981;Weiden;234;male
Bayern;SPD;32;Praun;Nadine;Gymnasiallehrerin;1995;Ingolstadt;215;female
Bayern;SPD;33;Grämmer;Thomas;Diakon;1981;Nürnberg-Süd;244;male
Bayern;SPD;34;Molnar;Reka;duale Studentin;2000;Rosenheim;221;female
Bayern;SPD;35;Sat;Ali-Cemil;Student;2000;Kulmbach;239;male
Bayern;SPD;36;Sigl-Glöckner;Philippa Maria Magdalena Patricia;Ökonomin;1990;München-Nord;216;female
Bayern;SPD;37;Michniok;Manuel Stefan;Gewerkschaftssekretär;1985;Aschaffenburg;246;male
Bayern;SPD;38;Lehner;Sarah Carmen;Projektkoordinatorin;1995;;;female
Bayern;SPD;39;Mirlach;Daniel;Pflegefachkraft;1997;Ansbach;240;male
Bayern;SPD;40;Kliem;Marvin;Angestellter;1997;Straubing;230;male
Bayern;SPD;41;Keller;Marcel;Lehrer;1993;Memmingen – Unterallgäu;255;male
Bayern;SPD;42;Fernengel;Jürgen;Chemieingenieur;1985;Altötting;211;male
Bayern;SPD;43;Rausch;David Christian;Sozialwissenschaftler;1994;München-Ost;217;male
Bayern;SPD;44;Büch;Andreas;Gruppenleiter Versandlogistik;1991;Neu-Ulm;254;male
Bayern;SPD;45;Dr. Mohr;Marco;Wirtschaftswissenschaftler;1984;Erding – Ebersberg;212;male
Bayern;SPD;46;Plappert;Konstantin;Student;2003;Oberallgäu;256;male
Bayern;SPD;47;Meikis;Clemens Andreas Johannes;Geschäftsführer;1979;Weilheim;225;male
Bayern;SPD;48;Joos;Raffael;Student;1992;Bad Tölz-Wolfratshausen – Miesbach;222;male
Bayern;SPD;49;Werner;Stefan;Verwaltungsfachangestellter;1977;;;male
Bayern;GRÜNE;1;Schäfer;Jamila Anna;Mitglied des Deutschen Bundestages;1993;München-Süd;218;female
Bayern;GRÜNE;2;Dr. Hofreiter;Anton;MdB, Dipl.-Biologe;1970;München-Land;220;male
Bayern;GRÜNE;3;Roth;Claudia Benedikta;Staatsministerin Kultur und Medien;1955;Augsburg-Stadt;251;female
Bayern;GRÜNE;4;Müller;Sascha;MdB, Sportjournalist;1970;Nürnberg-Süd;244;male
Bayern;GRÜNE;5;Badum;Lisa Hildegard;Mitglied des Deutschen Bundestages;1983;Bamberg;235;female
Bayern;GRÜNE;6;Bär;Karl;MdB, Agrarökonom;1985;Bad Tölz-Wolfratshausen – Miesbach;222;male
Bayern;GRÜNE;7;Winklmann;Tina;Verfahrensmechanikerin;1980;Schwandorf;233;female
Bayern;GRÜNE;8;Wagener;Niklas;Mitglied des Deutschen Bundestages;1998;Aschaffenburg;246;male
Bayern;GRÜNE;9;Schönberger;Marlene Edeltraud;MdB, Politikwissenschaften (M. A.);1990;Rottal-Inn;229;female
Bayern;GRÜNE;10;Eckert;Leon;MdB, Kommunalreferent;1995;Freising;213;male
Bayern;GRÜNE;11;Lenhard;Rebecca;selbst. IT-Beraterin;1995;Nürnberg-Nord;243;female
Bayern;GRÜNE;12;Wagner;Johannes;Arzt;1991;Coburg;237;male
Bayern;GRÜNE;13;Broßart;Victoria;Ingenieurin;1992;Rosenheim;221;female
Bayern;GRÜNE;14;Schmidt;Stefan;MdB, Lehrer;1981;Regensburg;232;male
Bayern;GRÜNE;15;Hecht;Jessica Berta;Lehrerin;1972;Würzburg;250;female
Bayern;GRÜNE;16;Dr. Pircher;Bianca;Biologin;1994;Roth;245;female
Bayern;GRÜNE;17;Wörle;Andrea;Referentin Haushaltspolitik;1985;Oberallgäu;256;female
Bayern;GRÜNE;18;Machnik;Petra Verena;freie Journalistin;1979;Starnberg – Landsberg am Lech;223;female
Bayern;GRÜNE;19;Jacob;Britta;Dipl.-Kulturwirtin;1980;Fürstenfeldbruck;214;female
Bayern;GRÜNE;20;Hermann;Andre Phillipp;Krisenmanager;1981;München-Ost;217;male
Bayern;GRÜNE;21;Wißmiller;Maria Ingrid;Umweltberaterin;1987;Ostallgäu;257;female
Bayern;GRÜNE;22;Krieger;Maria;Volkswirtin;1985;Landshut;227;female
Bayern;GRÜNE;23;Schweiger;Ulrike Barbara;Personalreferentin;1965;Traunstein;224;female
Bayern;GRÜNE;24;Artun;Alpay;Softwareentwickler;1987;Neu-Ulm;254;male
Bayern;GRÜNE;25;Niedermeier;Feride;Sozialversicherungsfachangestellte;1975;Straubing;230;female
Bayern;GRÜNE;26;Amler;Sebastian Hermann;Student;1997;Ansbach;240;male
Bayern;GRÜNE;27;Droste;Anneliese;Intensivpflegekraft;1967;Weiden;234;female
Bayern;GRÜNE;28;Salimi;Kamran Michael;Krankenpfleger;1969;Fürth;242;male
Bayern;GRÜNE;29;Bößert;Inken;Dipl.-Kauffrau;1970;Bayreuth;236;female
Bayern;GRÜNE;30;Weis;Peter;Rechtsdozent;1992;Main-Spessart;248;male
Bayern;GRÜNE;31;Göppel-Kraft;Sophia Lydia;Energieökonomin;1988;;;female
Bayern;GRÜNE;32;Lochmüller;Christoph Johannes;Aufzugbau-Unternehmer;1967;Erding – Ebersberg;212;male
Bayern;GRÜNE;33;Probst;Julia Fatima;PR-Referentin;1981;;;female
Bayern;GRÜNE;34;Damm;William Sebastian;Dipl.-Informatiker;1979;Deggendorf;226;male
Bayern;GRÜNE;35;Anton-Kupfer;Miriam Mechthild;Journalistin;1976;;;female
Bayern;GRÜNE;36;Ochs;Thomas Josef;Gitarrenbaumeister;1973;Kulmbach;239;male
Bayern;GRÜNE;37;Dr. Sigloch;Helene;IT-Sicherheitsexpertin;1983;;;female
Bayern;GRÜNE;38;Schmidt;Helmut Horst-Werner;Gebietsverkaufsleiter;1962;Augsburg-Land;252;male
Bayern;GRÜNE;39;Schießer;Lisa Marie;Angestellte im öffentlichen Dienst;1993;;;female
Bayern;GRÜNE;40;Guter;Paulus Maximilian;Elektrotechnik-Ingenieur;1994;Erlangen;241;male
Bayern;GRÜNE;41;Thaqi;Albina;Studentin;2004;;;female
Bayern;GRÜNE;42;Nagel;Merlin Georg Friedrich;Ingenieur;1986;Ingolstadt;215;male
Bayern;GRÜNE;43;Siontas;Patrizia Anna;Fremdsprachenkorrespondentin;1973;;;female
Bayern;GRÜNE;44;Ruser;Christian Andreas;pädagogischer Mitarbeiter;1980;Bad Kissingen;247;male
Bayern;GRÜNE;45;Claus;Vivian-Catherine;Wirtschaftsingenieurin;1996;;;female
Bayern;GRÜNE;46;Biela;Peter;Betriebstechniker;1983;Altötting;211;male
Bayern;GRÜNE;47;Hartl;Monika Chantal Margarita;Studienrätin Förderschuldienst;1971;;;female
Bayern;GRÜNE;48;Gürtler;Peter Gerhard;Geschäftsführer;1966;Amberg;231;male
Bayern;GRÜNE;49;Rohdenburg;Stefanie;Apothekerin;1970;;;female
Bayern;GRÜNE;50;Lund;Adrian;techn. Redakteur;1993;Donau-Ries;253;male
Bayern;GRÜNE;51;Feldmann;Lisa;Kunstlehrerin;1982;;;female
Bayern;GRÜNE;52;Müller;Frederic-Alexej;Erzieher Heilpädagogik;1968;Passau;228;male
Bayern;GRÜNE;53;Onken;Sarah;Betriebswirtin;1980;;;female
Bayern;GRÜNE;54;König;Christian Athanasius;Klima- und Unternehmensberater;1998;Weilheim;225;male
Bayern;GRÜNE;55;Mader;Christina;Lehrerin;1983;;;female
Bayern;GRÜNE;56;Weidinger;Stefan Rudolf Leo;IT-Manager;1963;Schweinfurt;249;male
Bayern;GRÜNE;57;Weigert;Claudia Nicole;Dipl.-Kauffrau;1983;;;female
Bayern;GRÜNE;58;Dr. Schmalfuß;Harald Jürgen;Dipl.-Physiker;1949;Hof;238;male
Bayern;GRÜNE;59;Stelzl;Nina Desire;wissenschaftl. Mitarbeiterin;1995;;;female
Bayern;GRÜNE;60;Linse;Joachim;Softwareentwickler;1986;Memmingen – Unterallgäu;255;male
Bayern;GRÜNE;61;Bergmann;Miriam Sophia Zoë;Studentin;2002;;;female
Bayern;GRÜNE;62;Ostermeier;Frederik Ferid;Spezialist Digitalisierung Produktion;1990;München-Nord;216;male
Bayern;FDP;1;Hagen;Martin Stephan;Geschäftsführer;1981;Erding – Ebersberg;212;male
Bayern;FDP;2;Hessel;Katja;MdB, Rechtsanwältin, Steuerberaterin;1972;Nürnberg-Nord;243;female
Bayern;FDP;3;Seehofer;Susanne Karin;Betriebswirtin (M. Sc.);1991;Fürstenfeldbruck;214;female
Bayern;FDP;4;Klein;Karsten Franziskus;Mitglied des Deutschen Bundestages;1977;Aschaffenburg;246;male
Bayern;FDP;5;Föst;Daniel Wolfgang;Mitglied des Deutschen Bundestages;1976;München-Nord;216;male
Bayern;FDP;6;Bauer;Nicole Anna Elisabeth;Mitglied des Deutschen Bundestages;1987;Landshut;227;female
Bayern;FDP;7;Gründer;Nils Jan;Mitglied des Deutschen Bundestages;1997;Amberg;231;male
Bayern;FDP;8;Funke genannt Kaiser;Maximilian Ludwig;Mitglied des Deutschen Bundestages;1993;Augsburg-Stadt;251;male
Bayern;FDP;9;Al-Halak;Muhanad;Mitglied des Deutschen Bundestages;1989;Deggendorf;226;male
Bayern;FDP;10;Bubendorfer-Licht;Sandra Maria;MdB, selbst. Dolmetscherin;1969;Altötting;211;female
Bayern;FDP;11;Lechte;Ulrich Werner Maria;MdB, Betriebswirt (VWA);1977;Regensburg;232;male
Bayern;FDP;12;Hacker;Thomas;MdB, Dipl.-Kaufmann;1967;Bayreuth;236;male
Bayern;FDP;13;Pischel;Lisa-Marie;Studentin;2001;Nürnberg-Süd;244;female
Bayern;FDP;14;Friedrich;Paul Noah;Student;2003;Starnberg – Landsberg am Lech;223;male
Bayern;FDP;15;Türker;Mahmut;Dipl.-Ingenieur;1967;München-Ost;217;male
Bayern;FDP;16;Dr. Köhler;Lukas Otto;Mitglied des Deutschen Bundestages;1986;München-West/Mitte;219;male
Bayern;FDP;17;Thomae;Stephan;Rechtsanwalt;1968;Oberallgäu;256;male
Bayern;FDP;18;Dr. Ullmann;Andrew John;MdB, Universitätsprofessor, Internist;1963;Würzburg;250;male
Bayern;FDP;19;Schenk Graf von Stauffenberg;Maximilian Karl Theodor Franz Maria;Unternehmer;1970;Bad Kissingen;247;male
Bayern;FDP;20;Duin;Albert Walter;Geschäftsführer;1953;Traunstein;224;male
Bayern;FDP;21;Lütke;Kristine;MdB, Pflegeunternehmerin;1982;Roth;245;female
Bayern;FDP;22;Körber;Sebastian Michael;Architekt;1980;Bamberg;235;male
Bayern;FDP;23;Pößl;Ileana-Valeria;Altenpflegerin;1967;Schwandorf;233;female
Bayern;FDP;24;Sandt;Julika Muriel;leitende Angestellte Gesundheitswesen;1971;München-Süd;218;female
Bayern;FDP;25;Dr. Klaue;Thomas Jürgen;Dipl.-Ingenieur;1958;München-Land;220;male
Bayern;FDP;26;Ernst;Jan Christoph Alfred;Projektassistent;2004;Passau;228;male
Bayern;FDP;27;Moga;Marcus;Fahrlehrer;1997;Rosenheim;221;male
Bayern;FDP;28;Persson;Leif Erik;Ingenieur;1992;Erlangen;241;male
Bayern;FDP;29;Vo;Huu Loi;Pharmaberater;1984;;;male
Bayern;FDP;30;Monti;Vittorino;Soldat;1993;Freising;213;male
Bayern;FDP;31;Rothlehner;Claus Peter;Geschäftsführer;1981;Rottal-Inn;229;male
Bayern;FDP;32;Speer;Jürgen;Landwirt;1980;Weilheim;225;male
Bayern;FDP;33;Riekel;Patricia Hedwig Cornelia;Journalistin;1949;;;female
Bayern;FDP;34;Herpel;Klaus Eugen;Geschäftsführer;1962;Straubing;230;male
Bayern;FDP;35;Ramm;Oliver;Angestellter;1971;Coburg;237;male
Bayern;FDP;36;Hecht;Henrik;Systemingenieur;1995;Neu-Ulm;254;male
Bayern;FDP;37;Ecker;Timo;Referent Digitalisierung;1995;;;male
Bayern;FDP;38;Dr. Geier;Birgit;wissenschaftl. Mitarbeiterin;1967;Augsburg-Land;252;female
Bayern;FDP;39;Teichert;Claudia;Kommunikationsdesignerin;1983;;;female
Bayern;FDP;40;Kirchgeßner;Noah Winfried;Student;2002;Main-Spessart;248;male
Bayern;FDP;41;Kerkhoff;Birgit;Hotelbetriebswirtin;1968;;;female
Bayern;FDP;42;Sachs;Tim Michael;Geschäftsführer;1990;Bad Tölz-Wolfratshausen – Miesbach;222;male
Bayern;FDP;43;Weigle;Markus Michael;Versicherungsmakler;1988;;;male
Bayern;FDP;44;Posch;Hans-Peter;Gastronom;1962;Donau-Ries;253;male
Bayern;FDP;45;Mörer;Michael;Geschäftsführer;1965;Schweinfurt;249;male
Bayern;FDP;46;Stöcklein;Ralf;Referent;1989;;;male
Bayern;FDP;47;Kremer;Franziska;Psychologin;1980;Ansbach;240;female
Bayern;FDP;48;Ludwig;Tim Pascal;Zerspanungsmechaniker;1994;;;male
Bayern;FDP;49;Heindl;Stefan;Geschäftsführer;1968;Hof;238;male
Bayern;FDP;50;Steffen;Daniel;Berufssoldat;1983;Memmingen – Unterallgäu;255;male
Bayern;FDP;51;Renner;Nikita Jan;Student;2001;Ingolstadt;215;male
Bayern;FDP;52;Schräder;Frank;Verkaufsleiter;1976;;;male
Bayern;FDP;53;Hauser;Karl;Unternehmer;1958;;;male
Bayern;FDP;54;Egerer;Franz Luitpold;Getränkebetriebswirt;1973;;;male
Bayern;FDP;55;Schmidt;Daniel;Unternehmer Metallbranche;1973;;;male
Bayern;FDP;56;Henzen;Jörg Klaus;geschäftsführender Gesellschafter;1963;;;male
Bayern;FDP;57;Prost;Marcus;Historiker;1973;Ostallgäu;257;male
Bayern;FDP;58;Schürdt;Marcus Christoph;Unternehmensberater;1976;;;male
Bayern;FDP;59;Dr. Sommerfeld;Frank;Orthopäde;1966;;;male
Bayern;FDP;60;Otte;Michael;Vorstand;1968;;;male
Bayern;FDP;61;Dr. Klotz;Theodor Alexander;Arzt;1962;Weiden;234;male
Bayern;FDP;62;Connelly;Anne Eva;Geschäftsführerin;1964;;;female
Bayern;FDP;63;Bayer;Daniel René;Informatiker;1996;Fürth;242;male
Bayern;FDP;64;Blechschmidt;Kevin;Softwareentwickler;1996;Kulmbach;239;male
Bayern;FDP;65;Schmidt;Regina;Sonderschullehrerin i. R.;1965;;;female
Bayern;FDP;66;Nowak;Armin Karl Wilhelm;Immobiliensachverständiger;1960;;;male
Bayern;FDP;67;Benninghoven;Heinz;Rentner;1955;;;male
Bayern;AfD;1;Protschka;Stephan;Mitglied des Deutschen Bundestages;1977;Rottal-Inn;229;male
Bayern;AfD;2;Boehringer;Peter Christian Pascal;Mitglied des Deutschen Bundestages;1969;Amberg;231;male
Bayern;AfD;3;Dr. Rothfuß;Rainer;MdB, Geopolitik-Analyst;1971;Oberallgäu;256;male
Bayern;AfD;4;Huy;Rose Gerrit;Mitglied des Deutschen Bundestages;1953;Weilheim;225;female
Bayern;AfD;5;Wiehle;Wolfgang;Mitglied des Deutschen Bundestages;1964;München-Süd;218;male
Bayern;AfD;6;Schiller;Manfred Leonhard;Kaufmann;1961;Weiden;234;male
Bayern;AfD;7;Peterka;Tobias Matthias;Mitglied des Deutschen Bundestages;1982;Bayreuth;236;male
Bayern;AfD;8;Otten;Gerold Joachim;Mitglied des Deutschen Bundestages;1955;München-Land;220;male
Bayern;AfD;9;Felser;Peter;Mitglied des Deutschen Bundestages;1969;;;male
Bayern;AfD;10;Schießl;Carina;med.-techn. Laborassistentin;1990;Regensburg;232;female
Bayern;AfD;11;Teich;Tobias Daniel;Referent;1984;München-Ost;217;male
Bayern;AfD;12;Mayer;Andreas;Luft- und Raumfahrttechnikingenieur;1995;Donau-Ries;253;male
Bayern;AfD;13;Rehm;Lukas;Personalsachbearbeiter;1990;Ingolstadt;215;male
Bayern;AfD;14;Scheirich;Raimond Christian;Umweltingenieur;1990;Augsburg-Stadt;251;male
Bayern;AfD;15;Schuhmann;Bernd Willi Karl;Gartenbautechniker;1964;Schweinfurt;249;male
Bayern;AfD;16;Dr. Hahn;Ingo Jochen;Mitglied des Bayerischen Landtags;1971;Bad Tölz-Wolfratshausen – Miesbach;222;male
Bayern;AfD;17;Dr. Birghan;Christoph;Patentanwalt;1970;Traunstein;224;male
Bayern;AfD;18;Treuheit;Bastian;Kaufmann im Groß- und Außenhandel;1998;Fürth;242;male
